"Statistic Label","Year","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2021","National excluding Dublin - houses","Base Jan 2005 = 100","113.8"
"Residential Property Price Index","2021","National excluding Dublin - apartments","Base Jan 2005 = 100","90.2"
"Residential Property Price Index","2021","Border excluding Louth - houses","Base Jan 2005 = 100","91.3"
"Residential Property Price Index","2021","Midland - houses","Base Jan 2005 = 100","105.3"
"Residential Property Price Index","2021","West - houses","Base Jan 2005 = 100","113.2"
"Residential Property Price Index","2021","Mid-East including Louth - houses","Base Jan 2005 = 100","122.8"
"Residential Property Price Index","2021","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","103.7"
"Residential Property Price Index","2021","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","111.6"
"Residential Property Price Index","2021","South-West - houses","Base Jan 2005 = 100","122.6"
"Residential Property Price Index","2022","National - all residential properties","Base Jan 2005 = 100","131.3"
"Residential Property Price Index","2022","National - houses","Base Jan 2005 = 100","136"
"Residential Property Price Index","2022","National - apartments","Base Jan 2005 = 100","107"
"Residential Property Price Index","2022","Dublin - all residential properties","Base Jan 2005 = 100","124"
"Residential Property Price Index","2022","Dublin - houses","Base Jan 2005 = 100","131.1"
"Residential Property Price Index","2022","Dublin - apartments","Base Jan 2005 = 100","104"
"Residential Property Price Index","2022","Dublin City - houses","Base Jan 2005 = 100","132.7"
"Residential Property Price Index","2022","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","127.6"
"Residential Property Price Index","2022","Fingal - houses","Base Jan 2005 = 100","124.9"
"Residential Property Price Index","2022","South Dublin - houses","Base Jan 2005 = 100","132.8"
"Residential Property Price Index","2022","National excluding Dublin - all residential properties","Base Jan 2005 = 100","128.2"
"Residential Property Price Index","2022","National excluding Dublin - houses","Base Jan 2005 = 100","129.9"
"Residential Property Price Index","2022","National excluding Dublin - apartments","Base Jan 2005 = 100","101.3"
"Residential Property Price Index","2022","Border excluding Louth - houses","Base Jan 2005 = 100","107.7"
"Residential Property Price Index","2022","Midland - houses","Base Jan 2005 = 100","121.1"
"Residential Property Price Index","2022","West - houses","Base Jan 2005 = 100","132.3"
"Residential Property Price Index","2022","Mid-East including Louth - houses","Base Jan 2005 = 100","139.1"
"Residential Property Price Index","2022","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","116"
"Residential Property Price Index","2022","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","128.8"
"Residential Property Price Index","2022","South-West - houses","Base Jan 2005 = 100","138"
"Residential Property Price Index","2023","National - all residential properties","Base Jan 2005 = 100","135.3"
"Residential Property Price Index","2023","National - houses","Base Jan 2005 = 100","140.4"
"Residential Property Price Index","2023","National - apartments","Base Jan 2005 = 100","109.2"
"Residential Property Price Index","2023","Dublin - all residential properties","Base Jan 2005 = 100","124.8"
"Residential Property Price Index","2023","Dublin - houses","Base Jan 2005 = 100","131.7"
"Residential Property Price Index","2023","Dublin - apartments","Base Jan 2005 = 100","105.3"
"Residential Property Price Index","2023","Dublin City - houses","Base Jan 2005 = 100","130.4"
"Residential Property Price Index","2023","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","127"
"Residential Property Price Index","2023","Fingal - houses","Base Jan 2005 = 100","128"
"Residential Property Price Index","2023","South Dublin - houses","Base Jan 2005 = 100","137.7"
"Residential Property Price Index","2023","National excluding Dublin - all residential properties","Base Jan 2005 = 100","134.6"
"Residential Property Price Index","2023","National excluding Dublin - houses","Base Jan 2005 = 100","136.5"
"Residential Property Price Index","2023","National excluding Dublin - apartments","Base Jan 2005 = 100","105"
"Residential Property Price Index","2023","Border excluding Louth - houses","Base Jan 2005 = 100","113"
"Residential Property Price Index","2023","Midland - houses","Base Jan 2005 = 100","127"
"Residential Property Price Index","2023","West - houses","Base Jan 2005 = 100","138.6"
"Residential Property Price Index","2023","Mid-East including Louth - houses","Base Jan 2005 = 100","146.2"
"Residential Property Price Index","2023","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","122"
"Residential Property Price Index","2023","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","135.5"
"Residential Property Price Index","2023","South-West - houses","Base Jan 2005 = 100","145.2"
"Residential Property Price Index","2024","National - all residential properties","Base Jan 2005 = 100","146.8"
"Residential Property Price Index","2024","National - houses","Base Jan 2005 = 100","152.6"
"Residential Property Price Index","2024","National - apartments","Base Jan 2005 = 100","117.3"
"Residential Property Price Index","2024","Dublin - all residential properties","Base Jan 2005 = 100","135.6"
"Residential Property Price Index","2024","Dublin - houses","Base Jan 2005 = 100","143.7"
"Residential Property Price Index","2024","Dublin - apartments","Base Jan 2005 = 100","112.6"
"Residential Property Price Index","2024","Dublin City - houses","Base Jan 2005 = 100","143.8"
"Residential Property Price Index","2024","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","136.2"
"Residential Property Price Index","2024","Fingal - houses","Base Jan 2005 = 100","139.9"
"Residential Property Price Index","2024","South Dublin - houses","Base Jan 2005 = 100","151.1"
"Residential Property Price Index","2024","National excluding Dublin - all residential properties","Base Jan 2005 = 100","145.9"
"Residential Property Price Index","2024","National excluding Dublin - houses","Base Jan 2005 = 100","147.9"
"Residential Property Price Index","2024","National excluding Dublin - apartments","Base Jan 2005 = 100","113.8"
"Residential Property Price Index","2024","Border excluding Louth - houses","Base Jan 2005 = 100","123.6"
"Residential Property Price Index","2024","Midland - houses","Base Jan 2005 = 100","140.3"
"Residential Property Price Index","2024","West - houses","Base Jan 2005 = 100","150.5"
"Residential Property Price Index","2024","Mid-East including Louth - houses","Base Jan 2005 = 100","156.1"
"Residential Property Price Index","2024","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","136.1"
"Residential Property Price Index","2024","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","144.9"
"Residential Property Price Index","2024","South-West - houses","Base Jan 2005 = 100","158.6"
"Residential Property Price Index","2025","National - all residential properties","Base Jan 2005 = 100","157.9"
"Residential Property Price Index","2025","National - houses","Base Jan 2005 = 100","164.3"
"Residential Property Price Index","2025","National - apartments","Base Jan 2005 = 100","125.3"
"Residential Property Price Index","2025","Dublin - all residential properties","Base Jan 2005 = 100","143.9"
"Residential Property Price Index","2025","Dublin - houses","Base Jan 2005 = 100","152.4"
"Residential Property Price Index","2025","Dublin - apartments","Base Jan 2005 = 100","119.7"
"Residential Property Price Index","2025","Dublin City - houses","Base Jan 2005 = 100","153.5"
"Residential Property Price Index","2025","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","143.1"
"Residential Property Price Index","2025","Fingal - houses","Base Jan 2005 = 100","149.2"
"Residential Property Price Index","2025","South Dublin - houses","Base Jan 2005 = 100","159.9"
"Residential Property Price Index","2025","National excluding Dublin - all residential properties","Base Jan 2005 = 100","158.5"
"Residential Property Price Index","2025","National excluding Dublin - houses","Base Jan 2005 = 100","160.9"
"Residential Property Price Index","2025","National excluding Dublin - apartments","Base Jan 2005 = 100","122.8"
"Residential Property Price Index","2025","Border excluding Louth - houses","Base Jan 2005 = 100","134.8"
"Residential Property Price Index","2025","Midland - houses","Base Jan 2005 = 100","156.7"
"Residential Property Price Index","2025","West - houses","Base Jan 2005 = 100","163.3"
"Residential Property Price Index","2025","Mid-East including Louth - houses","Base Jan 2005 = 100","168.2"
"Residential Property Price Index","2025","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","150.1"
"Residential Property Price Index","2025","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","156"
"Residential Property Price Index","2025","South-West - houses","Base Jan 2005 = 100","172.8"
